RECEIPTS APRIL 2024,,,,,,,,,,,,,,,,
DATE,WHOUSE,GRN #,INVOICE #,ITEM CODE,ITEM  DESCRIPTION,UOM, QUANTITY ,LOT NUMBER,MFG. DATE,EXPIRY DATE,MANUFACTURER,UNIT PRICE, TOTAL PRICE ,SUPPLIER,CONTRACT/LPO #,COMMENT
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404084,04-2024,03-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA049500,"Paracetamol,500mg,tablet,1000",1000, 992 ,2404083,03-2024,02-2027,CROWN," 11,730.00 "," 11,636,160.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA021000,"Diclofenac sodium, 50mg,, tablet,",100," 2,000 ",2408002,03-2024,02-2027,CROWN," 1,003.00 "," 2,006,000.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA021000,"Diclofenac sodium, 50mg,, tablet,",100, 132 ,2408001,01-2024,01-2026,CROWN," 1,003.00 "," 132,396.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA015600,"Ciprofloxacin,250mg,tablet,100",100, 204 ,2337001,10-2023,09-2026,CROWN," 2,465.00 "," 502,860.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA015600,"Ciprofloxacin,250mg,tablet,100",100, 153 ,2437003,02-2024,01-2027,CROWN," 2,465.00 "," 377,145.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,075 ",2405028,03-2024,02-2027,CROWN," 6,426.00 "," 6,907,950.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,489 ",2405027,03-2024,02-2027,CROWN," 6,426.00 "," 9,568,314.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405026,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405025,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405024,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13191,INV2324-925,AA007200,"Aspirin,300mg,tablet,1000",1000," 1,497 ",2405023,03-2024,02-2027,CROWN," 6,426.00 "," 9,619,722.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13192,INV2324-923,EE033900,"Oral rehydration salt, 20.5g satchet",EACH," 27,480 ",2431011,03-2024,02-2026,CROWN, 153.00 ," 4,204,440.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13192,INV2324-923,EE033900,"Oral rehydration salt, 20.5g satchet",EACH," 29,140 ",2431014,03-2024,02-2026,CROWN, 153.00 ," 4,458,420.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13192,INV2324-923,EE033900,"Oral rehydration salt, 20.5g satchet",EACH," 22,800 ",2431012,03-2024,02-2026,CROWN, 153.00 ," 3,488,400.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/10/2024,NPW,G13192,INV2324-923,EE033900,"Oral rehydration salt, 20.5g satchet",EACH," 20,580 ",2431015,03-2024,02-2026,CROWN, 153.00 ," 3,148,740.00 ",Crown Pharmaceuticals & Research Laboratories Limi,CMST001949,POSTED
4/18/2024,NPW,G13195,LLW/03154,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH," 11,628 ",2B40215,02-2024,01-2027,ACULIFE," 2,950.00 "," 34,302,600.00 ",Pharmavet,CMST001846,POSTED
4/18/2024,NPW,G13195,LLW/03154,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH," 11,652 ",2B40218,02-2024,01-2027,ACULIFE," 2,950.00 "," 34,373,400.00 ",Pharmavet,CMST001846,POSTED
4/18/2024,NPW,G13195,LLW/03154,BB069300,"Sodium chloride,0.9%,1000ml,Each",EACH," 11,628 ",2B40213,02-2024,01-2027,ACULIFE," 2,950.00 "," 34,302,600.00 ",Pharmavet,CMST001846,POSTED
