No.,Description,Base Unit of Measure,Unit Cost,Unit Price
BB031200,"Etoposide,10mg/ml,10ml,Each",EACH,0,0
BB031500,"Etoposide,20mg/ml,10ml,Each",EACH,0,0
BB031800,"Etoposide,20mg/ml,1ml,Each",EACH,0,0
BB032100,"Etoposide,500mg/25ml,Injection,Each",EACH,0,0
BB032400,"Fentanyl 50micrograms/ml,2ml",EACH,0,0
BB032700,"Filgrastim,300mcg,PFR,Each",EACH,9237.57339,11265.3334
BB033000,"Flucloxacillin,250mg,PFR,Each",EACH,1440,1756.09756
BB033300,"Fluconazole,2mg/ml,25ml,Each",EACH,1253.36263,1528.49101
BB033310,"Fluconazole 2mg/1ml, bottle of 100ml",EACH,2214.5,2700.60976
BB033600,"Fludarabine,50mg,vial,Each",EACH,0,0
BB033900,"Fludarabine Phosphate for 50mg,PFR,Each",EACH,37884,46200
BB033950,"Flumezanic,0.1mg/ml,Each",EACH,0,0
BB034200,"Fluphenazine decanoate,25mg/ml,2ml,Each",EACH,935.08645,1140.34933
BB034201,"Fluphenazine decanoate 25mg/ml, 1ml",EACH,0,0
BB034500,"Furosemide (Frusemide),10mg/ml,2ml,Each",EACH,157.59,192.18293
BB034800,"Furosemide (Frusemide),20mg/ml,2ml,Each",EACH,44.312,54.03902
BB035100,"Ganciclovir Injection,?,500mg per Vial,PFR,Each",EACH,16318.79388,19900.96815
BB035400,Gancilovir 500mg Injection,EACH,0,0
BB035700,"Gelatin 500ml pack intravenous infusion,Each",EACH,7778.66126,9486.17227
BB036000,"Gemcitabine,1g,PFR,Each",EACH,13928.41312,16985.86966
BB036300,"Gemcitabine,200mg,PFR,Each",EACH,6137.8073,7485.13085
BB036600,"Gentamycin Sulphate,10mg/ml,2ml,Each",EACH,0,0
BB036900,"Gentamycin Sulphate,40mg/ml,2ml,Each",EACH,144,175.60976
BB037200,Goselerin Acetate 3.6mg depot injection,EACH,72294.075,88163.5061
BB037500,"Granisetron 1mg/ml, 5ml",EACH,7556.7492,9215.5478
BB037600,"Glycopyrrolate Acetate 0.2mg/ml, 5mL",EACH,0,0
BB037800,"Haloperidol,5mg/ml,2ml,Each",EACH,1152.95791,1406.04623
